,Brazil,Congo,Cuba,Egypt,France,India,Israel,Japan,China,Russia,USA,Serbia
Brazil,,,,,,,,,,,,
Congo,4.61,,,,,,,,,,,
Cuba,5.83,4.17,,,,,,,,,,
Egypt,4.33,5.61,4.67,,,,,,,,,
France,4.11,3.22,2.78,3.39,,,,,,,,
India,4.61,3.56,4.39,5.06,2.61,,,,,,,
Israel,3.17,2.33,3.00,5.22,5.00,3.33,,,,,,
Japan,2.72,1.61,2.50,2.67,5.06,3.94,4.89,,,,,
China,4.61,2.89,4.83,4.72,3.61,5.89,3.44,6.17,,,,
Russia,3.56,2.67,4.56,3.56,4.44,4.33,3.94,4.11,7.00,,,
USA,5.22,2.39,3.39,3.17,6.39,3.78,5.17,5.67,4.33,4.89,,
Serbia,3.61,3.50,4.22,4.39,4.72,3.78,4.22,3.22,3.50,6.00,2.89,
