country         area popM grow life lit %ed labr %ag %ot GDP GDPgr perc p%ag p%in p%ot imprt imptUS exprt  expUS USaid date           
Angola        481351  8.0  2.7  38  20 -99  1.9  60  40  4.2   0.0  550  29   27    44  1500  103.0  1600 1010.0   1.9 1975
Benin          43483  4.0  3.1  41  20  43  1.5  70  30  1.1  -4.2  310  35   16    49   590   13.0   304    0.3   0.8 1980
Botswana      220000  1.1  3.3  50  30  93  0.4  75  25  0.7   0.0  750  11    1    88   740   19.0   640   57.0  11.4 1966
Burkina       106000  6.9  2.5  42   5   8  2.7  83  17  0.9  -1.3  157  35   20    45   230   21.0   110    0.1  15.6 1960
Burundi        10747  4.8  2.6  42  25  29  1.9  93   7  1.2   3.0  255  51   15    34   198    9.0    79    2.0   6.0 1962
Cameroon      183568  9.8  2.7  47  65  70  3.0  83  17  6.7   5.0  734  30    9    61  1100   66.0  1904  721.0  20.5 1960
CapeVerde       1657  0.3  2.0  61  37 -99  0.1 -99 -99  0.1   0.0  353 -99  -99   -99    68  -99.0     2  -99.0   2.1 1975
CenAfrRep     247000  2.7  2.8  41  20  64  1.3  88  12  0.6  -2.3  273  35    8    57   137    1.0   114    3.0   2.0 1960
Chad          496000  5.3  2.5  39  20  37  2.0  85  15  0.5   0.6  110  52   14    34   122   16.0    65    0.1  18.5 1960
Comoros          863  0.5  2.9  47  15  50  0.2  87  13  0.1  -1.0  240  40   34    26    19    0.5    18    2.0   0.4 1975
Congo         132000  1.8  3.0  47  50  90  0.7  75  25  1.8   3.1 1300  10   15    75   608   12.0   997 1001.0   1.0 1960
Dijbouti        9000  0.3  2.6  50  20 -99  0.1 -99 -99  0.1 -99.0  400  10    1    89   152    8.0    66    1.0   5.0 1977
EqGuinea       10820  0.3  2.5  45  55  70  0.1  86  14  0.1   0.0  417  50    2    48    37    0.5    13    0.5   1.0 1968
Ethiopia      445000 42.3  0.7  38  15  23 13.0  90  10  5.0   3.7  142  52   14    34   906  174.0   403   82.0  44.3  -99
Gabon         102317  1.0  3.1  44  65  84  0.3  65  35  3.5   0.7 2742   4    6    90   700   36.0  2200  680.0   0.0 1960
Gambia          4003  0.8  3.5  33  15  14  0.4  75  25  0.1  13.4  190  75   15    10    87   14.0    66    0.6   4.7 1965
Ghana          92100 13.2  3.0  49  30  60  3.7  55  45 10.5  -7.2  954 -99  -99   -99   669   46.0   857   47.0   7.6 1957
Guinea        246048  5.7  2.7  45  48  34  2.4  82  18  1.5   1.3  276  40   10    50   403   33.0   537  110.0   8.6 1958
GuineaBis      14000  0.9  1.9  35   9 -99  0.3  90  10  0.2  -5.1  182 -99  -99   -99    57  -99.0     9  -99.0   2.5 1973
IvoryCoast    124500 10.1  4.0  47  24  75  4.0  85  15  7.6   1.8  871  25   25    50  1850   65.0  2450  469.0   0.0 1960
Kenya         224900 20.2  4.2  53  70  83  5.4  80  20  5.5   2.1  294  35   15    50  1234   74.0   922   64.0  75.4 1963
Lesotho        11716  1.5  2.5  52  55  70  0.4  36  64  0.6  -2.0  455  27    6    67   450   12.0   124    0.7  16.6 1966
Liberia        43000  2.2  3.3  54  24  50  0.5  70  30  1.1  -5.0  492  15   60    25   424   97.0   429   98.0  73.1 1847
Madagascr     228000  9.9  2.8  46  53  83  3.4  92   8  2.5   1.6  260  40   17    43   356   39.0   328   71.0  17.8 1960
Malawi         45747  7.0  3.3  47  25  45  2.4  90  10  1.3   3.0  213  39    9    52   274    3.0   204   30.0   9.7 1964
Mali          464873  7.7  2.3  45  10  28  3.5  73  27  1.0   4.4  138  42   11    47   233   15.0   146    1.0  23.5 1960
Mauritania    419229  1.7  2.0  42  17  24  0.5  47  53  0.7 -99.0  460  22   21    57   215   26.0   275    1.0  15.8 1960
Mauritius        720  1.6  2.0  69  61  78  0.3  29  71  1.1   1.2 1053  17   16    67   393    9.0   363   49.0   5.5 1968
Mozambiq      303769 13.8  2.8  47  14  40  3.2  85  15  2.7   3.5  220  45   35    20   737   23.0   385   24.0  38.7 1975
Nambia        318261  1.1  3.0 -99  39  25  0.5  60  40  1.5  -7.0 1429  10    6    84   988    4.0  1320    3.0   0.0  -99
Niger         490000  6.5  3.3  42   5  15  2.5  90  10  2.0  -0.8  425  44   10    46   438    2.0   362    0.5  37.9 1960
Nigeria       357000 91.2  3.4  49  30  42 40.0  60  40 67.0  -4.4  760  25   10    65 12100  557.0 10500 2508.0   0.0 1960
Rwanda         10169  6.3  3.7  45  37  70  2.7  93   7  1.5   2.9  270  46   15    39   182    9.0   114   17.0  11.4 1962
SoTom            372  0.1  0.8 -99  50 -99  0.0  70  30  0.0 -10.0  300  40    8    52    20  -99.0     9  -99.0   0.3 1975
Senegal        76000  8.8  3.2  44  10  53  1.7  70  30  2.5 -14.3  400  20   20    60   820   95.0   498    2.0  47.8 1980
Seychelles       171  0.1  0.9  66  60  95  0.0  19  81  0.2  -0.2 2270   7   15    78    81    0.5    35    0.3   2.3 1976
SierraLeon     27925  3.9  2.6  46  15 -99  1.5  75  25  1.0   0.5  256  32   23    45   126   19.0   104   39.0   6.9 1961
Somalia       246155  7.6  3.0  44  10  50  2.2  82  18  1.9   9.6  375  55    7    38   407   76.0   101    0.7  70.7 1960
SoAfrica      472359 32.5  2.4  66  70  89 10.4  30  70 79.0  -3.0 2500   7   24    69 14400 2265.0 18200 2488.0  10.0 1910
Sudan         967500 21.8  2.7  47  20  50  5.7  78  22  7.3  -2.6  364  40    6    54  1800  136.0   790   20.0 214.4 1956
Swaziland       6704  0.7  3.0  47  65  90  0.4  53  47  0.6   1.7  900  23   33    44   464    0.7   330   23.0   7.6 1962
Tanzania      365608 21.7  3.2  52  66  87  7.2  83  17  4.2   0.6  210  54   13    33   831   44.0   296   12.0   3.9 1964
Togo           21853  3.0  3.1  47  18  50  1.2  67  15  1.0  -3.2  340  27   21    52   290   13.0   202   35.0   4.9 1960
Uganda         91076 14.7  3.2  53  52  53  5.8  90  10  4.8   5.0  355  55    8    37   509    3.0   380   93.0   7.8 1962
Zaire         905063 32.9  2.9  48  27  90 13.0  75  25  3.4   3.0  570  16   30    54  1130   82.0  1611  502.0  49.1 1960
Zambia        290724  6.8  3.2  47  54  49  2.7  65  35  3.5   1.7  500  14   41    45  1060   91.0  1030  124.0  25.0 1964
Zimbabwe      150333  8.7  3.3  52  50  90  3.4  35  60  6.6   2.0  870  18   32    50  1430   63.6  1120   71.0  37.6 1980
