pizza ingredients (columns): cheese tomato anchovies onions sausage mushrooms peppers meatballs
REF: John's pizza, Bleeker St NYC (circa 1985)
1 1 0 0 0 0 0 0
0 1 1 0 0 0 0 0
1 1 1 0 0 0 0 0
0 1 0 0 0 0 0 0
1 1 0 1 0 0 0 0
1 1 0 0 1 0 0 0
1 1 1 0 0 0 0 0
1 1 0 0 0 1 0 0
1 1 0 0 0 0 1 0
1 1 0 0 0 0 0 1
1 1 1 1 0 0 0 0
1 1 1 0 0 0 1 0
1 1 1 0 1 0 0 0
1 1 1 0 0 1 0 0
1 1 1 0 0 0 0 1
1 1 0 1 0 1 0 0
1 1 1 1 1 0 0 0
1 1 0 1 0 0 0 1
1 1 1 0 1 0 1 0
1 1 0 0 1 1 0 0
1 1 1 0 1 0 1 0
1 1 1 0 0 0 1 1
1 1 1 0 0 1 0 1
1 1 1 0 1 0 0 1
1 1 0 1 1 0 0 0
1 1 0 0 1 0 1 0
1 1 0 0 1 0 0 1
1 1 0 1 1 0 1 0
1 1 0 1 1 1 0 0
1 1 0 1 1 0 0 1
1 1 0 0 1 0 1 1
1 1 0 0 1 1 0 1
1 1 0 0 1 1 1 0
1 1 0 0 0 1 1 0
1 1 0 0 0 1 0 1
1 1 0 1 0 1 1 0
1 1 0 1 0 1 0 1
1 1 0 1 0 1 1 1
1 1 0 1 1 0 1 1
1 1 0 1 0 0 1 0
1 1 0 1 0 0 0 1
1 1 0 1 0 0 1 1
1 1 0 0 0 0 1 1
1 1 1 1 1 0 1 0
1 1 1 1 0 1 0 0
1 1 1 1 0 1 1 0
1 1 1 1 1 0 1 1
1 1 1 1 1 1 0 1
1 1 1 1 0 1 1 1
1 1 0 1 1 1 1 1
1 1 1 0 1 1 1 0
1 1 1 1 1 0 1 0
1 1 1 0 1 1 1 1
1 1 1 1 1 1 1 1
