Date,Search_Results
1/1/2017,6.119418398
1/2/2017,9.962440179
1/3/2017,10.73074949
1/4/2017,9.874515381
1/5/2017,10.57496327
1/6/2017,9.78098464
1/7/2017,8.423166119
1/8/2017,8.165882818
1/9/2017,8.528793896
1/10/2017,8.097431298
1/11/2017,8.481290901
1/12/2017,8.677498923
1/13/2017,8.182405599
1/14/2017,7.791169754
1/15/2017,6.883597009
1/16/2017,7.336498233
1/17/2017,8.054354048
1/18/2017,7.619155804
1/19/2017,7.559555773
1/20/2017,6.799802907
1/21/2017,6.326248208
1/22/2017,6.554616642
1/23/2017,7.511462679
1/24/2017,7.154452594
1/25/2017,6.855862342
1/26/2017,6.821046482
1/27/2017,6.766462296
1/28/2017,7.009583213
1/29/2017,6.749644465
1/30/2017,7.452747797
1/31/2017,7.202545688
2/1/2017,7.21818332
2/2/2017,7.290765536
2/3/2017,7.099573358
2/4/2017,6.569074075
2/5/2017,6.861763335
2/6/2017,7.185137759
2/7/2017,7.299617026
2/8/2017,7.228510058
2/9/2017,7.248573435
2/10/2017,6.903660386
2/11/2017,6.253665992
2/12/2017,6.529537421
2/13/2017,6.980373297
2/14/2017,6.730171188
2/15/2017,6.938476246
2/16/2017,7.113440692
2/17/2017,7.528870609
2/18/2017,7.08954167
2/19/2017,6.441022524
2/20/2017,6.898054443
2/21/2017,7.392852717
2/22/2017,7.245622938
2/23/2017,7.444781457
2/24/2017,7.972330243
2/25/2017,8.537940435
2/26/2017,8.134902604
2/27/2017,7.744846958
2/28/2017,7.926597546
3/1/2017,9.465948319
3/2/2017,9.885508931
3/3/2017,16.20488248
3/4/2017,11.92312186
3/5/2017,9.570690947
3/6/2017,10.28235072
3/7/2017,9.360320542
3/8/2017,8.938989632
3/9/2017,8.890306439
3/10/2017,9.933897075
3/11/2017,9.008916401
3/12/2017,8.458648791
3/13/2017,9.144344193
3/14/2017,10.06224368
3/15/2017,9.519647357
3/16/2017,9.285377929
3/17/2017,8.921876752
3/18/2017,8.811233131
3/19/2017,8.628597393
3/20/2017,9.588393927
3/21/2017,9.154965981
3/22/2017,8.692328119
3/23/2017,8.592306285
3/24/2017,8.202545688
3/25/2017,7.644606787
3/26/2017,8.058266406
3/27/2017,8.245327889
3/28/2017,8.422357683
3/29/2017,8.293420983
3/30/2017,8.375739837
3/31/2017,8.130258523
4/1/2017,6.786525672
4/2/2017,6.669981058
4/3/2017,7.612369662
4/4/2017,7.589650838
4/5/2017,7.273357606
