Date,BTC Close,ETH Close,LTC Close,DASH Close,XRP Close
1/1/2017,995.440002,8.14,4.42,11.06,0.006346
1/2/2017,1017.049988,8.33,4.54,11.62,0.006312
1/3/2017,1033.300049,9.59,4.51,12.22,0.006411
1/4/2017,1135.410034,10.88,4.42,15.49,0.00641
1/5/2017,989.349976,10.2,4.16,13.63,0.006276
1/6/2017,886.159973,10.07,3.76,11.21,0.006222
1/7/2017,888.869995,9.78,3.82,11.72,0.006363
1/8/2017,900.859985,10.27,3.91,12.31,0.006251
1/9/2017,899.780029,10.2,4.25,12.12,0.006176
1/10/2017,904.369995,10.55,4.47,12.16,0.006815
1/11/2017,785.429993,9.83,3.84,11.14,0.006543
1/12/2017,810.109985,9.81,3.94,12.17,0.006359
1/13/2017,824.830017,9.78,3.86,12.35,0.006669
1/14/2017,819.630005,9.78,3.89,12.25,0.006795
1/15/2017,821.169983,9.88,3.85,12.26,0.00681
1/16/2017,827.340027,9.59,3.82,12.8,0.00678
1/17/2017,899.659973,10.14,3.89,14.04,0.00683
1/18/2017,872.030029,10.19,3.8,13.79,0.0068
1/19/2017,895.210022,10.43,3.82,15.01,0.00684
1/20/2017,892.909973,10.6,3.84,14.9,0.0066
1/21/2017,919.840027,10.91,3.85,14.79,0.00684
1/22/2017,918.840027,10.71,3.81,14.98,0.00678
1/23/2017,921.460022,10.78,3.82,15.03,0.00669
1/24/2017,893.75,10.51,3.75,14.03,0.0065
1/25/2017,894.409973,10.51,3.66,14.26,0.00649
1/26/2017,915.559998,10.65,3.81,14.75,0.0063
1/27/2017,918.01001,10.51,3.85,15.13,0.00636
1/28/2017,918.51001,10.54,3.84,15.09,0.00639
1/29/2017,914.549988,10.47,3.82,15.27,0.00631
1/30/2017,920.72998,10.62,3.99,15.79,0.00645
1/31/2017,965.48999,10.71,4.02,15.94,0.00641
2/1/2017,982.429993,10.71,4,15.69,0.00649
2/2/2017,1003.969971,10.78,4.03,16.01,0.0064
2/3/2017,1013.02002,10.95,3.99,16.9,0.00638
2/4/2017,1031.849976,11.32,3.96,16.879999,0.00644
2/5/2017,1016.109985,11.22,3.97,16.51,0.00629
2/6/2017,1024.670044,11.32,3.93,16.5,0.00638
