Date,Bitcoin
1/1/2017,9554
1/2/2017,22579
1/3/2017,25183
1/4/2017,22281
1/5/2017,24655
1/6/2017,21964
1/7/2017,17362
1/8/2017,16490
1/9/2017,17720
1/10/2017,16258
1/11/2017,17559
1/12/2017,18224
1/13/2017,16546
1/14/2017,15220
1/15/2017,12144
1/16/2017,13679
1/17/2017,16112
1/18/2017,14637
1/19/2017,14435
1/20/2017,11860
1/21/2017,10255
1/22/2017,11029
1/23/2017,14272
1/24/2017,13062
1/25/2017,12050
1/26/2017,11932
1/27/2017,11747
1/28/2017,12571
1/29/2017,11690
1/30/2017,14073
1/31/2017,13225
2/1/2017,13278
2/2/2017,13524
2/3/2017,12876
2/4/2017,11078
2/5/2017,12070
2/6/2017,13166
2/7/2017,13554
2/8/2017,13313
2/9/2017,13381
2/10/2017,12212
2/11/2017,10009
2/12/2017,10944
2/13/2017,12472
2/14/2017,11624
2/15/2017,12330
2/16/2017,12923
2/17/2017,14331
2/18/2017,12842
2/19/2017,10644
2/20/2017,12193
2/21/2017,13870
2/22/2017,13371
2/23/2017,14046
2/24/2017,15834
2/25/2017,17751
2/26/2017,16385
2/27/2017,15063
2/28/2017,15679
3/1/2017,17507
3/2/2017,18929
3/3/2017,40347
3/4/2017,25835
3/5/2017,17862
3/6/2017,20274
3/7/2017,17149
3/8/2017,15721
3/9/2017,15556
3/10/2017,19093
3/11/2017,15958
3/12/2017,14093
3/13/2017,16417
3/14/2017,19528
3/15/2017,17689
3/16/2017,16895
3/17/2017,15663
3/18/2017,15288
3/19/2017,14669
3/20/2017,17922
3/21/2017,16453
3/22/2017,14885
3/23/2017,14546
3/24/2017,13225
3/25/2017,11334
3/26/2017,12736
3/27/2017,13370
3/28/2017,13970
3/29/2017,13533
3/30/2017,13812
3/31/2017,12980
4/1/2017,11815
4/2/2017,11420
4/3/2017,14614
4/4/2017,14537
4/5/2017,13465
4/6/2017,13169
4/7/2017,13208
4/8/2017,11200
4/9/2017,10873
4/10/2017,13166
4/11/2017,16999
4/12/2017,13871
4/13/2017,13786
4/14/2017,12174
4/15/2017,10065
4/16/2017,11044
4/17/2017,18666
4/18/2017,22995
4/19/2017,15773
4/20/2017,14703
4/21/2017,14230
4/22/2017,11143
4/23/2017,12071
4/24/2017,16047
4/25/2017,16503
4/26/2017,14681
4/27/2017,14889
4/28/2017,13791
4/29/2017,11038
4/30/2017,16195
5/1/2017,14544
5/2/2017,17143
5/3/2017,17277
5/4/2017,19238
5/5/2017,16900
5/6/2017,17793
5/7/2017,17777
5/8/2017,19666
5/9/2017,23935
5/10/2017,24385
5/11/2017,25185
5/12/2017,39626
5/13/2017,47817
5/14/2017,43113
5/15/2017,91099
5/16/2017,88685
5/17/2017,59979
5/18/2017,45865
5/19/2017,38662
5/20/2017,33314
5/21/2017,31659
5/22/2017,70929
5/23/2017,77232
5/24/2017,70266
5/25/2017,73348
5/26/2017,61597
5/27/2017,41682
5/28/2017,32640
5/29/2017,35534
5/30/2017,35423
5/31/2017,34254
6/1/2017,31694
6/2/2017,28056
6/3/2017,25776
6/4/2017,23455
6/5/2017,28797
6/6/2017,35757
6/7/2017,33834
6/8/2017,27396
6/9/2017,26320
6/10/2017,23523
6/11/2017,27303
6/12/2017,35940
6/13/2017,32860
