,Date,price Change,Up or Down,Times of 0,Times of down,Times of up,Times of continue up,Times of continue down
1,4/28/2013,10.33,1,0,4,3,2,5
2,4/29/2013,-5.54,-1,0,5,2,3,5
3,4/30/2013,-22.01,-1,0,5,2,3,5
4,5/1/2013,-11.78,-1,0,4,3,3,4
5,5/2/2013,-7.46,-1,0,4,3,3,3
6,5/3/2013,14.75,1,0,3,4,3,3
7,5/4/2013,3.41,1,0,4,3,3,3
8,5/5/2013,-3.61,-1,0,5,2,2,3
9,5/6/2013,-0.8,-1,0,4,3,2,3
10,5/7/2013,2.07,1,0,4,3,2,3
11,5/8/2013,-0.9,-1,0,4,3,2,3
12,5/9/2013,4.53,1,0,3,4,2,3
13,5/10/2013,-1.96,-1,0,3,4,2,3
14,5/11/2013,-0.24,-1,0,2,5,2,3
15,5/12/2013,2.98,1,0,2,5,5,2
16,5/13/2013,-6.48,-1,0,2,5,5,2
17,5/14/2013,2.72,1,0,1,6,5,2
18,5/15/2013,4.54,1,0,1,6,5,2
19,5/16/2013,4.26,1,0,1,6,4,2
20,5/17/2013,0.48,1,0,1,6,3,2
21,5/18/2013,-1.51,-1,0,2,5,6,2
22,5/19/2013,0.01,1,0,1,6,6,2
23,5/20/2013,0.88,1,0,2,5,6,2
24,5/21/2013,1.01,1,0,3,4,5,2
25,5/22/2013,2.81,1,0,3,4,4,3
26,5/23/2013,6.5,1,0,4,3,3,3
27,5/24/2013,-1.22,-1,0,4,3,2,3
28,5/25/2013,1.5,1,0,3,4,2,3
29,5/26/2013,-3.73,-1,0,4,3,3,3
30,5/27/2013,-0.75,-1,0,4,3,3,3
31,5/28/2013,3.3,1,0,4,3,3,2
32,5/29/2013,-3.5,-1,0,4,3,3,4
33,5/30/2013,0.2,1,0,4,3,3,4
34,5/31/2013,0.3,1,0,5,2,3,4
35,6/1/2013,-7.01,-1,0,6,1,2,4
36,6/2/2013,-0.07,-1,0,6,1,2,4
37,6/3/2013,-0.8,-1,0,5,2,2,5
38,6/4/2013,0.23,1,0,4,3,2,5
39,6/5/2013,-3.65,-1,0,5,2,3,5
40,6/6/2013,-6.5,-1,0,5,2,3,5
41,6/7/2013,-3.2,-1,0,5,2,3,4
42,6/8/2013,-8.3,-1,0,4,3,3,4
43,6/9/2013,6.35,1,0,4,3,3,4
44,6/10/2013,2.55,1,0,4,3,3,4
45,6/11/2013,-0.75,-1,0,4,3,2,4
46,6/12/2013,-4.15,-1,0,3,4,2,4
47,6/13/2013,-4.02,-1,0,2,5,2,3
48,6/14/2013,0.01,1,0,2,5,5,2
49,6/15/2013,-0.48,-1,0,3,4,5,2
50,6/16/2013,2.19,1,0,3,4,5,2
51,6/17/2013,5.7,1,0,4,3,5,1
52,6/18/2013,0.85,1,0,4,3,4,5
53,6/19/2013,1.9,1,0,4,3,3,5
54,6/20/2013,-0.65,-1,0,5,2,3,5
55,6/21/2013,-1.2,-1,0,5,2,3,5
56,6/22/2013,-0.7,-1,0,4,3,3,4
57,6/23/2013,-4.86,-1,0,3,4,3,3
58,6/24/2013,1.21,1,0,3,4,3,3
59,6/25/2013,0.05,1,0,3,4,3,3
60,6/26/2013,-2.56,-1,0,4,3,3,3
61,6/27/2013,-6.79,-1,0,3,4,3,3
62,6/28/2013,0.34,1,0,3,4,3,2
63,6/29/2013,1.62,1,0,3,4,3,2
64,6/30/2013,-8.56,-1,0,3,4,2,2
65,7/1/2013,2.08,1,0,2,5,2,2
66,7/2/2013,-12.6,-1,0,2,5,2,2
67,7/3/2013,3,1,0,1,6,2,2
68,7/4/2013,-12.1,-1,0,1,6,2,2
