City,Rank,Population
"New York, New York",1,8213839
"Los Angeles, California",2,3794640
"Chicago, Illinois",3,2824584
"Houston, Texas",4,2076189
"Philadelphia, Pennsylvania",5,1517628
"Phoenix, Arizona",6,1476331
"San Diego, California",7,1284347
"San Antonio, Texas",8,1258733
"Dallas, Texas",9,1246185
"Detroit, Michigan",10,921147
"San Jose, California",11,908870
"Indianapolis, Indiana",12,789250
"Jacksonville, Florida",13,786938
"San Francisco, California",14,777660
"Columbus, Ohio",15,738782
"Austin, Texas",16,708293
"Memphis, Tennessee",17,680515
"Baltimore, Maryland",18,640064
"Charlotte, North Carolina",19,634059
"Fort Worth, Texas",20,622311
"Boston, Massachusetts",21,609690
"Milwaukee, Wisconsin",22,602057
"El Paso, Texas",23,587400
"Washington, District of Columbia",24,582049
"Nashville-Davidson, Tennessee",25,579748
"Seattle, Washington",26,575719
"Denver, Colorado",27,561323
"Las Vegas, Nevada",28,544806
"Portland, Oregon",29,534093
"Oklahoma City, Oklahoma",30,532006
"Tucson, Arizona",31,528483
"Albuquerque, New Mexico",32,496801
"Atlanta, Georgia",33,483108
"Long Beach, California",34,467851
"Kansas City, Missouri",35,463985
"Fresno, California",36,456574
"New Orleans, Louisiana",37,455188
"Cleveland, Ohio",38,449188
"Sacramento, California",39,448842
"Mesa, Arizona",40,448520
"Virginia Beach, Virginia",41,437464
"Omaha, Nebraska",42,432148
"Colorado Springs, Colorado",43,393795
"Oakland, California",44,392112
"Miami, Florida",45,390768
"Tulsa, Oklahoma",46,381017
"Minneapolis, Minnesota",47,375641
"Honolulu, Hawaii",48,375111
"Arlington, Texas",49,361043
"Wichita, Kansas",50,354524
"St. Louis, Missouri",51,352572
"Raleigh, North Carolina",52,348699
"Santa Ana, California",53,337121
"Cincinnati, Ohio",54,331310
"Anaheim, California",55,329315
"Tampa, Florida",56,325569
"Toledo, Ohio",57,316970
"Pittsburgh, Pennsylvania",58,316206
"Aurora, Colorado",59,296681
"Bakersfield, California",60,291553
"Riverside, California",61,285615
"Stockton, California",62,282015
"Corpus Christi, Texas",63,281290
"Lexington-Fayette, Kentucky",64,278313
"Buffalo, New York",65,277998
"St. Paul, Minnesota",66,276978
"Anchorage, Alaska",67,276863
"Newark, New Jersey",68,276200
"Plano, Texas",69,250357
"Fort Wayne, Indiana",70,249762
"St. Petersburg, Florida",71,247936
"Glendale, Arizona",72,242864
"Lincoln, Nebraska",73,242009
"Norfolk, Virginia",74,237487
"Jersey City, New Jersey",75,236808
"Greensboro, North Carolina",76,236449
"Chandler, Arizona",77,236188
"Birmingham, Alabama",78,232137
"Henderson, Nevada",79,231787
"Scottsdale, Arizona",80,228076
"North Hempstead, New York",81,226669
"Madison, Wisconsin",82,223807
"Hialeah, Florida",83,223164
"Baton Rouge, Louisiana",84,221997
"Chesapeake, Virginia",85,216570
"Orlando, Florida",86,216501
"Lubbock, Texas",87,213089
"Garland, Texas",88,212539
"Akron, Ohio",89,210527
"Rochester, New York",90,209781
"Chula Vista, California",91,209483
"Reno, Nevada",92,206109
"Laredo, Texas",93,205770
"Durham, North Carolina",94,205615
"Modesto, California",95,204077
"Huntington, New York",96,202606
"Montgomery, Alabama",97,200537
"Boise, Idaho",98,200163
"Arlington, Virginia",99,199761
"San Bernardino, California",100,198959
