AAPL.Close,AXP.Close,BA.Close,CAT.Close,CSCO.Close,CVX.Close,DIS.Close,GE.Close,GS.Close,HD.Close,IBM.Close,INTC.Close,JNJ.Close,JPM.Close,KO.Close,MCD.Close,MMM.Close,MRK.Close,MSFT.Close,NKE.Close,PFE.Close,PG.Close,TRV.Close,UNH.Close,UTX.Close,V.Close,VZ.Close,WMT.Close,XOM.Close,DWDP.Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.150002,75.349998,156.970001,93.989998,30.540001,117.849998,106.080002,31.690001,241.570007,134.309998,167.190002,36.599998,115.839996,87.230003,41.799999,119.620003,178.050003,60.150002,62.580002,51.98,33,84.199997,120.900002,161.449997,110.830002,79.5,54.580002,68.660004,90.889999,57.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.019997,76.260002,158.619995,93.57,30.1,117.82,107.440002,31.700001,243.130005,135.5,169.259995,36.41,115.650002,86.910004,41.650002,119.480003,178.320007,60.130001,62.299999,53.07,33.290001,84.5,120.25,161.910004,110.900002,80.150002,54.52,69.059998,89.889999,58.060001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.610001,75.32,158.710007,93,30.17,117.309998,107.379997,31.52,241.320007,133.899994,168.699997,36.349998,116.860001,86.110001,41.75,119.699997,177.710007,60.110001,62.299999,53.060001,33.610001,85.059998,118.330002,162.179993,111.349998,81.089996,54.639999,69.209999,88.550003,57.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.910004,75.470001,159.100006,93.040001,30.23,116.839996,108.980003,31.610001,244.899994,133.529999,169.529999,36.48,116.300003,86.120003,41.740002,120.760002,178.229996,60.27,62.84,53.91,33.48,85.029999,118.269997,162.410004,112.550003,82.209999,53.259998,68.260002,88.5,57.439999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118.989998,75.860001,158.320007,92.370003,30.18,115.839996,108.360001,31.459999,242.889999,134.309998,167.649994,36.610001,116.279999,86.18,41.32,120.43,177.270004,61.099998,62.639999,53.380001,33.470001,84.400002,117.32,161.949997,111.5,81.75,52.68,68.709999,87.040001,57.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.110001,76.650002,159.070007,93.830002,30.379999,114.959999,108.379997,31.370001,242.570007,136.100006,165.520004,36.540001,116.160004,86.43,41.040001,120.25,176.580002,59.919998,62.619999,53.110001,33.439999,83.489998,117.18,161.580002,111.260002,81.309998,52.759998,68.230003,85.93,57.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.75,76.910004,159.399994,94.650002,30.15,115.93,109.440002,31.469999,245.759995,135.699997,167.75,36.950001,114.730003,87.080002,41.049999,120.879997,177.889999,61.630001,63.189999,52.689999,32.830002,83.75,117.650002,161.889999,111,81.800003,52.459999,68.529999,86.809998,58.259998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.25,76.879997,158.289993,93.989998,30.040001,116.160004,107.529999,31.389999,243.839996,135.070007,167.949997,36.709999,114.620003,86.239998,40.950001,122.099998,177.440002,62.209999,62.610001,52.400002,32.599998,83.839996,116.75,162.360001,110.82,81.370003,52.68,67.970001,86.339996,58.290001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.040001,76.620003,158.830002,94.480003,30.07,116.379997,108.059998,31.360001,244.300003,135.039993,167.339996,36.790001,114.599998,86.699997,40.880001,121.5,177.389999,62.34,62.700001,52.919998,32.52,84.010002,117.050003,161.800003,110.220001,81.169998,52.549999,67.129997,86.349998,57.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,76.599998,157.669998,93.57,29.99,116.279999,107.970001,31.27,235.740005,135.929993,167.889999,36.799999,114.870003,83.550003,41.220001,122.75,177.259995,61.48,62.529999,53.650002,32.060001,85.209999,117.459999,160.660004,109.970001,81.260002,52.740002,68.419998,87.360001,57.330002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.989998,77.489998,158.320007,93.330002,30.030001,115.940002,108.160004,31.23,234.289993,136.160004,166.800003,36.759998,114.699997,83.940002,41.290001,122.709999,178.490005,61.169998,62.5,53.27,32.029999,84.93,118.540001,157.740005,110.419998,81.589996,52.25,68.110001,86.279999,57.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.779999,76.690002,159,93.379997,29.98,115.580002,107.279999,31.209999,231.410004,135.389999,166.809998,36.57,114.199997,83.300003,41.139999,122.18,178.679993,60.330002,62.299999,52.93,31.700001,84.699997,117.989998,158.699997,110.730003,81.730003,52.360001,67.620003,84.730003,57.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,76.199997,159.529999,94.580002,30.1,115.599998,107.660004,30.530001,232.199997,135.600006,170.550003,36.939999,114.150002,83.669998,41.32,122.260002,178.490005,62.529999,62.740002,53.200001,31.77,87.449997,118.019997,158.660004,110.790001,81.839996,52.720001,67.18,85.889999,57.380001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.080002,75.970001,157.839996,94.459999,30.27,115.389999,107.120003,29.75,232.669998,138.070007,171.029999,36.77,113.910004,83.709999,41.43,121.379997,178.509995,61.810001,62.959999,53.240002,31.459999,86.959999,118.040001,159.070007,110.339996,82.150002,52.41,66.650002,84.970001,57.139999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.970001,77.43,160.550003,96.239998,30.6,116.370003,107.900002,30,233.679993,138.059998,175.899994,37.619999,111.760002,84.720001,41.900002,121.050003,175.970001,61.209999,63.52,53.450001,31.15,87.860001,116.839996,160.429993,111.610001,83.230003,50.119999,67.400002,85.089996,59.639999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.879997,76.889999,167.360001,98.150002,30.700001,117.239998,108.040001,30.370001,237.25,137.479996,178.289993,37.799999,112.800003,86.029999,42.119999,121.790001,176.729996,61.080002,63.68,53.860001,31.290001,87.160004,117.669998,161.240005,110.959999,83.900002,49.77,66.889999,85.339996,60.209999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.940002,76.93,169.119995,97.220001,30.74,116.550003,108.059998,30.32,239.580002,138.460007,178.660004,37.560001,111.839996,86.75,41.810001,121.879997,176.820007,61.200001,64.269997,53.650002,31.280001,86.599998,118.129997,162.75,110.360001,83.239998,49.119999,66.730003,85.599998,61.419998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.949997,76.849998,167.699997,98.989998,30.98,113.790001,109.300003,30.01,236.949997,138.330002,177.300003,37.98,113.379997,86.93,41.450001,122.860001,177.479996,61.75,65.779999,53.189999,31.42,86.720001,118.099998,162.990005,109.699997,83.769997,49.599998,65.660004,85.510002,61.310001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.629997,77.279999,165.570007,96.790001,30.83,111.82,110.940002,29.959999,233.899994,138.470001,175.800003,37.419998,113.129997,86.029999,41.380001,123.019997,175.419998,61.43,65.129997,53.080002,31.309999,86.75,117.510002,162.089996,109.169998,83.699997,49.369999,66.419998,84.860001,60.150002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.349998,76.379997,163.419998,95.660004,30.719999,111.349998,110.650002,29.700001,229.320007,137.580002,174.520004,36.82,113.25,84.629997,41.57,122.57,174.820007,61.990002,64.650002,52.900002,31.73,87.599998,117.779999,162.100006,109.669998,82.709999,49.009998,66.739998,83.889999,59.630001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.75,76.760002,163.970001,95.110001,30.5,111,111.300003,29.690001,230.669998,137.440002,174.289993,36.52,113.230003,84.949997,41.259998,122.419998,175.169998,62.099998,63.580002,53.02,31.67,87.330002,116.540001,162.710007,108.18,82.440002,48.389999,66.230003,82.940002,60.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
