AAPL.Close,AXP.Close,BA.Close,CAT.Close,CSCO.Close,CVX.Close,DIS.Close,GE.Close,GS.Close,HD.Close,IBM.Close,INTC.Close,JNJ.Close,JPM.Close,KO.Close,MCD.Close,MMM.Close,MRK.Close,MSFT.Close,NKE.Close,PFE.Close,PG.Close,TRV.Close,UNH.Close,UTX.Close,V.Close,VZ.Close,WMT.Close,XOM.Close,DWDP.Close
-0.0011192854 ,0.0120770275 ,0.0105115244 ,-0.0044685393 ,-0.0144073669 ,-0.0002545439 ,0.0128205126 ,0.0003155569 ,0.0064577470 ,0.0088601148 ,0.0123810813 ,-0.0051912025 ,-0.0016401416 ,-0.0036684511 ,-0.0035884451 ,-0.0011703728 ,0.0015164504 ,-0.0003325187 ,-0.0044743207 ,0.0209696037 ,0.0087879091 ,0.0035629811 ,-0.0053763605 ,0.0028492227 ,0.0006315979 ,0.0081761258 ,-0.0010993404 ,0.0058257206 ,-0.0110023106 ,0.0079861635 
0.0050853647 ,-0.0123262782 ,0.0005674694 ,-0.0060916961 ,0.0023255814 ,-0.0043286539 ,-0.0005584978 ,-0.0056782648 ,-0.0074445686 ,-0.0118081624 ,-0.0033085077 ,-0.0016479539 ,0.0104625939 ,-0.0092049587 ,0.0024009122 ,0.0018412621 ,-0.0034208164 ,-0.0003326127 ,0.0000000000 ,-0.0001884115 ,0.0096124960 ,0.0066271953 ,-0.0159667193 ,0.0016675251 ,0.0040576735 ,0.0117279348 ,0.0022010088 ,0.0021720389 ,-0.0149070644 ,-0.0044781604 
0.0111482976 ,0.0019915162 ,0.0024573057 ,0.0004301183 ,0.0019887305 ,-0.0040064957 ,0.0149004102 ,0.0028553617 ,0.0148350195 ,-0.0027632189 ,0.0049199882 ,0.0035763963 ,-0.0047920417 ,0.0001161538 ,-0.0002394731 ,0.0088555140 ,0.0029260536 ,0.0026617700 ,0.0086677529 ,0.0160195813 ,-0.0038679261 ,-0.0003526805 ,-0.0005070988 ,0.0014182452 ,0.0107768749 ,0.0138118517 ,-0.0252562413 ,-0.0137262970 ,-0.0005646866 ,-0.0062283738 
0.0091594773 ,0.0051676162 ,-0.0049025705 ,-0.0072011822 ,-0.0016539861 ,-0.0085587131 ,-0.0056891355 ,-0.0047453969 ,-0.0082074114 ,0.0058413765 ,-0.0110895122 ,0.0035636239 ,-0.0001720034 ,0.0006966674 ,-0.0100623378 ,-0.0027327095 ,-0.0053862538 ,0.0137713290 ,-0.0031827021 ,-0.0098311816 ,-0.0002986559 ,-0.0074091145 ,-0.0080324429 ,-0.0028323809 ,-0.0093292134 ,-0.0055954143 ,-0.0108899366 ,0.0065923965 ,-0.0164971638 ,0.0060933497 
0.0010085133 ,0.0104139334 ,0.0047372408 ,0.0158059863 ,0.0066268721 ,-0.0075966594 ,0.0001845330 ,-0.0028607121 ,-0.0013174359 ,0.0133274367 ,-0.0127049811 ,-0.0019120458 ,-0.0010319488 ,0.0029009051 ,-0.0067763553 ,-0.0014946442 ,-0.0038923788 ,-0.0193126029 ,-0.0003192848 ,-0.0050580741 ,-0.0008963848 ,-0.0107820377 ,-0.0011933174 ,-0.0022846249 ,-0.0021524484 ,-0.0053822875 ,0.0015185649 ,-0.0069858246 ,-0.0127527687 ,-0.0020765357 
0.0053731760 ,0.0033920678 ,0.0020744766 ,0.0087392090 ,-0.0075707376 ,0.0084377262 ,0.0097804487 ,0.0031876951 ,0.0131507932 ,-0.0029390814 ,0.0134726676 ,0.0112205799 ,-0.0123106142 ,0.0075205600 ,0.0002436160 ,0.0052390603 ,0.0074187166 ,0.0285381018 ,0.0091025233 ,-0.0079081527 ,-0.0182415376 ,0.0031141694 ,0.0040109404 ,0.0019185357 ,-0.0023368865 ,0.0060263807 ,-0.0056861071 ,0.0043968340 ,0.0102408705 ,0.0102306229 
-0.0041753653 ,-0.0003901573 ,-0.0069636201 ,-0.0069731008 ,-0.0036483914 ,0.0019839903 ,-0.0174525125 ,-0.0025421037 ,-0.0078124961 ,-0.0046425204 ,0.0011922325 ,-0.0064953178 ,-0.0009587727 ,-0.0096463480 ,-0.0024360049 ,0.0100926624 ,-0.0025296363 ,0.0094109685 ,-0.0091786360 ,-0.0055038338 ,-0.0070059088 ,0.0010745791 ,-0.0076498256 ,0.0029032183 ,-0.0016216216 ,-0.0052567235 ,0.0041936905 ,-0.0081715746 ,-0.0054141460 ,0.0005149846 
-0.0017609979 ,-0.0033818159 ,0.0034115170 ,0.0052133739 ,0.0009986351 ,0.0018938791 ,0.0049288478 ,-0.0009556547 ,0.0018865117 ,-0.0002222107 ,-0.0036320394 ,0.0021792973 ,-0.0001745332 ,0.0053339403 ,-0.0017094017 ,-0.0049139886 ,-0.0002818023 ,0.0020897123 ,0.0014374700 ,0.0099235874 ,-0.0024539265 ,0.0020277434 ,0.0025696188 ,-0.0034491131 ,-0.0054141761 ,-0.0024579697 ,-0.0024677487 ,-0.0123584521 ,0.0001158443 ,-0.0084062788 
0.0080645077 ,-0.0002610937 ,-0.0073034312 ,-0.0096316995 ,-0.0026604589 ,-0.0008592370 ,-0.0008328429 ,-0.0028699298 ,-0.0350388780 ,0.0065906402 ,0.0032867397 ,0.0002717586 ,0.0023560646 ,-0.0363321120 ,0.0083170252 ,0.0102880658 ,-0.0007328711 ,-0.0137953160 ,-0.0027113556 ,0.0137944828 ,-0.0141451107 ,0.0142839778 ,0.0035027423 ,-0.0070457292 ,-0.0022681909 ,0.0011088333 ,0.0036156613 ,0.0192164615 ,0.0116966187 ,-0.0081314361 
-0.0000833500 ,0.0116187993 ,0.0041225915 ,-0.0025649033 ,0.0013338113 ,-0.0029239508 ,0.0017597758 ,-0.0012791813 ,-0.0061508949 ,0.0016921284 ,-0.0064923224 ,-0.0010869837 ,-0.0014799860 ,0.0046678514 ,0.0016982047 ,-0.0003258737 ,0.0069390163 ,-0.0050423227 ,-0.0004797537 ,-0.0070829820 ,-0.0009358078 ,-0.0032859876 ,0.0091946366 ,-0.0181750213 ,0.0040919978 ,0.0040609647 ,-0.0092908984 ,-0.0045307952 ,-0.0123626601 ,0.0066282398 
